,TRNUNT,TRNPI1,TRNPQ1,EquipmentID,min_odo,max_odo,odo_change
77,1597,ULSD,17188.870000000003,1597,444.8,616982.4,616537.6
78,1598,ULSD,15306.520000000006,1598,41187.1,571770.8,530583.7000000001
79,1599,ULSD,17437.309999999998,1599,453.7,563537.2,563083.5
80,1600,ULSD,15414.729999999996,1600,435611.4,531120.4,95509.0
81,1601,ULSD,16358.050000000001,1601,457.9,634751.2,634293.2999999999
82,1602,ULSD,16637.279999999995,1602,14.6,553195.8,553181.2000000001
83,1603,ULSD,16133.160000000009,1603,446.2,600393.8,599947.6000000001
84,1604,ULSD,16303.299999999994,1604,463.4,604590.3,604126.9
85,1605,ULSD,19849.680000000008,1605,14.9,579900.2,579885.2999999999
86,1606,ULSD,17595.820000000014,1606,22.1,602763.9,602741.8
87,1607,ULSD,15443.030000000002,1607,0.0,637546.1,637546.1
88,1608,ULSD,17573.5,1608,502.8,590632.9,590130.1
89,1609,ULSD,15636.890000000001,1609,15.7,607842.2,607826.5
90,1610,ULSD,16599.39000000002,1610,453937.3,567869.6,113932.29999999999
91,1611,ULSD,13657.31999999999,1611,183395.5,519457.8,336062.3
92,1612,ULSD,15317.400000000021,1612,0.0,612465.8,612465.8
93,1613,ULSD,15642.749999999995,1613,481.7,575147.2,574665.5
94,1614,ULSD,14961.780000000006,1614,0.0,570791.8,570791.8
95,1615,ULSD,13374.690000000002,1615,434582.0,529497.8,94915.80000000005
96,1616,ULSD,11651.970000000005,1616,466571.5,552379.9,85808.40000000002
97,1617,ULSD,19011.15999999999,1617,467600.9,591628.5,124027.59999999998
98,1618,ULSD,19253.03999999998,1618,78674.0,572320.4,493646.4
99,1619,ULSD,16236.460000000003,1619,484961.5,590744.7,105783.19999999995
100,1620,ULSD,18354.669999999995,1620,11.6,577262.4,577250.8
101,1621,ULSD,15648.760000000006,1621,468479.1,575708.8,107229.70000000007
102,1622,ULSD,5952.91,1622,516759.2,526931.8,10172.600000000035
103,1623,ULSD,16796.309999999994,1623,13.5,578057.4,578043.9
104,1624,ULSD,13208.070000000002,1624,478635.6,583455.3,104819.70000000007
105,1625,ULSD,18852.63,1625,469015.9,594012.6,124996.69999999995
106,1626,ULSD,18168.890000000007,1626,6291.6,602611.5,596319.9
107,1627,ULSD,16814.21,1627,454627.7,564858.3,110230.60000000003
108,1628,ULSD,20493.85000000001,1628,450671.9,588288.4,137616.5
109,1629,ULSD,13534.440000000002,1629,406017.3,513338.4,107321.10000000003
110,1630,ULSD,17963.410000000007,1630,436246.0,561726.2,125480.19999999995
111,1631,ULSD,14423.770000000008,1631,0.0,541460.9,541460.9
112,1632,ULSD,18049.050000000014,1632,0.0,545368.7,545368.7
113,1633,ULSD,17165.319999999992,1633,442258.8,558260.2,116001.39999999997
114,1634,ULSD,18812.87,1634,436.3,570651.8,570215.5
115,1635,ULSD,13053.240000000013,1635,20238.7,545606.9,525368.2000000001
116,1636,ULSD,18142.37,1636,492467.3,617898.6,125431.29999999999
117,1637,ULSD,14643.35,1637,428578.7,524449.6,95870.89999999997
118,1638,ULSD,17267.620000000003,1638,462853.2,586438.6,123585.39999999997
119,1639,ULSD,20028.06000000001,1639,454447.2,585307.2,130859.99999999994
120,1640,ULSD,17055.110000000004,1640,415298.1,530483.1,115185.0
121,1641,ULSD,14031.199999999999,1641,424852.7,517843.7,92991.0
122,1642,ULSD,20187.519999999997,1642,460543.3,593749.7,133206.39999999997
123,1643,ULSD,11573.949999999999,1643,453959.5,530885.4,76925.90000000002
124,1644,ULSD,14560.909999999993,1644,379493.8,476765.4,97271.60000000003
125,1645,ULSD,21205.659999999996,1645,0.0,603582.6,603582.6
126,1646,ULSD,17895.630000000005,1646,486942.9,609116.4,122173.5
127,1647,ULSD,18479.030000000002,1647,426739.6,553565.2,126825.59999999998
128,1648,ULSD,21142.08000000001,1648,428145.5,577815.7,149670.19999999995
129,1649,ULSD,19975.550000000003,1649,432847.7,564242.7,131394.99999999994
130,1650,ULSD,13006.560000000001,1650,449808.6,536756.2,86947.59999999998
131,1651,ULSD,19338.819999999996,1651,460964.2,596615.9,135651.7
132,1652,ULSD,19285.509999999987,1652,428031.6,557053.4,129021.80000000005
133,1653,ULSD,19295.13,1653,391874.8,523114.4,131239.60000000003
134,1654,ULSD,17035.940000000002,1654,455711.4,572367.2,116655.79999999993
135,1655,ULSD,20142.3,1655,60480.3,616848.4,556368.1
136,1656,ULSD,19469.78999999999,1656,431725.8,554336.2,122610.39999999997
137,1657,ULSD,19053.420000000006,1657,205743.6,561136.7,355393.1
138,1658,ULSD,19706.179999999993,1658,407278.3,539956.6,132678.3
139,1659,ULSD,20127.64000000001,1659,424315.2,566212.8,141897.60000000003
140,1660,ULSD,13399.129999999997,1660,399052.0,500507.9,101455.90000000002
141,1661,ULSD,8313.039999999997,1661,0.0,506645.0,506645.0
142,1662,ULSD,18989.36000000001,1662,434461.5,564283.6,129822.09999999998
143,1663,ULSD,12357.400000000003,1663,434964.9,519415.8,84450.89999999997
144,1664,ULSD,20475.770000000008,1664,373860.5,861003.9,487143.4
145,1665,ULSD,19515.07000000001,1665,366902.2,503309.3,136407.09999999998
146,1666,ULSD,21888.61999999999,1666,40947.9,501809.2,460861.3
147,1667,ULSD,22546.1,1667,407353.3,557522.1,150168.8
148,1668,ULSD,17272.6,1668,0.0,577446.3,577446.3
149,1669,ULSD,22134.699999999997,1669,404516.6,556574.1,152057.5
150,1670,ULSD,17669.18,1670,429837.9,551787.0,121949.09999999998
151,1671,ULSD,16479.10000000001,1671,402367.2,510287.0,107919.79999999999
152,1672,ULSD,19704.050000000007,1672,354397.2,468818.5,114421.29999999999
153,1673,ULSD,16121.830000000002,1673,407109.4,512363.6,105254.19999999995
154,1674,ULSD,18775.089999999997,1674,441435.6,560217.7,118782.09999999998
155,1675,ULSD,17593.78000000001,1675,403226.0,520788.1,117562.09999999998
156,1676,ULSD,18109.35,1676,371794.4,493197.2,121402.79999999999
157,1677,ULSD,20195.72999999999,1677,396857.4,531804.1,134946.69999999995
158,1678,ULSD,17674.25,1678,417101.9,535508.2,118406.29999999993
159,1679,ULSD,17532.65000000001,1679,15106.8,480993.4,465886.60000000003
160,1680,ULSD,14913.290000000005,1680,395200.6,490900.4,95699.80000000005
161,1681,ULSD,17357.030000000006,1681,65541.2,473347.7,407806.5
162,1682,ULSD,15756.030000000006,1682,0.0,467972.7,467972.7
163,1683,ULSD,18001.370000000003,1683,374047.2,504651.0,130603.79999999999
164,1684,ULSD,22275.689999999984,1684,326495.8,483195.0,156699.2
165,1685,ULSD,15080.720000000008,1685,0.0,551103.6,551103.6
166,1686,ULSD,21369.919999999995,1686,346312.2,525752.9,179440.7
167,1687,ULSD,21787.959999999995,1687,317900.8,467205.4,149304.60000000003
168,1688,ULSD,15730.840000000006,1688,360633.2,466494.5,105861.29999999999
169,1689,ULSD,19706.839999999997,1689,164750.9,498410.2,333659.30000000005
170,1690,ULSD,21217.47999999999,1690,371818.9,515839.4,144020.5
171,1691,ULSD,16500.31000000001,1691,385175.9,499992.1,114816.19999999995
172,1692,ULSD,19454.339999999997,1692,428017.7,559435.8,131418.10000000003
173,1693,ULSD,21674.11,1693,340043.7,489710.5,149666.8
174,1694,ULSD,22917.550000000014,1694,383529.4,536024.2,152494.79999999993
175,1695,ULSD,19655.690000000002,1695,357572.0,489134.2,131562.2
176,1696,ULSD,21934.32999999999,1696,369995.9,514256.1,144260.19999999995
177,1697,ULSD,22744.870000000024,1697,336965.7,491092.1,154126.39999999997
178,1698,ULSD,18749.939999999995,1698,329709.7,462788.8,133079.09999999998
179,1699,ULSD,23760.000000000025,1699,338831.8,503529.8,164698.0
180,1700,ULSD,19955.22000000001,1700,348031.1,478594.3,130563.20000000001
181,1701,ULSD,21808.94,1701,359019.8,504053.9,145034.10000000003
182,1702,ULSD,18611.689999999988,1702,345901.2,465158.6,119257.39999999997
183,1703,ULSD,25057.020000000004,1703,352794.9,521998.6,169203.69999999995
184,1704,ULSD,21306.10999999998,1704,288417.6,428089.7,139672.10000000003
185,1705,ULSD,18699.66999999999,1705,348324.5,479365.5,131041.0
186,1706,ULSD,20571.559999999987,1706,323390.3,461969.1,138578.8
187,1707,ULSD,17827.16000000001,1707,365068.3,488358.7,123290.40000000002
188,1708,ULSD,19947.79,1708,347668.5,481523.1,133854.59999999998
189,1709,ULSD,21815.350000000028,1709,387240.9,537774.2,150533.29999999993
190,1710,ULSD,20155.52999999999,1710,82458.2,498030.0,415571.8
191,1711,ULSD,19283.320000000007,1711,342948.0,470149.9,127201.90000000002
192,1712,ULSD,18162.319999999996,1712,360378.8,494200.6,133821.8
193,1713,ULSD,21216.54000000001,1713,0.0,522212.3,522212.3
194,1714,ULSD,23273.209999999977,1714,378764.1,539615.3,160851.20000000007
195,1715,ULSD,25386.519999999997,1715,341855.3,510611.3,168756.0
196,1716,ULSD,24093.110000000008,1716,341249.2,507795.2,166546.0
197,1717,ULSD,22840.440000000002,1717,375930.3,532608.2,156677.89999999997
198,1718,ULSD,21986.27999999999,1718,358562.2,507734.2,149172.0
199,1719,ULSD,17964.530000000002,1719,301419.6,421628.6,120209.0
200,1720,ULSD,22350.699999999993,1720,339707.3,487844.5,148137.2
201,1721,ULSD,16364.380000000025,1721,369049.8,494397.8,125348.0
202,1722,ULSD,22371.249999999985,1722,325256.9,572745.4,247488.5
203,1723,ULSD,20056.529999999984,1723,303334.2,444367.4,141033.2
204,1724,ULSD,19413.590000000004,1724,306817.7,437275.8,130458.09999999998
