,DriverID,Week,TotalFuelUsed,TotalFuelBought,FuelDifference,FuelDifferencePct
0,ABBV,14,435.3,310.51,-124.79000000000002,-28.66758557316793
1,ABBV,15,321.7,493.36,171.66000000000003,53.36027354678272
2,ABBV,16,499.3,373.82,-125.48000000000002,-25.13118365711997
3,ABBV,17,388.6,416.53,27.92999999999995,7.187339166237772
4,ABBV,18,370.6,203.82999999999998,-166.77000000000004,-45.00000000000001
5,ABBV,19,264.0,511.56000000000006,247.56000000000006,93.7727272727273
6,ABBV,20,418.7,295.32,-123.38,-29.46739909242895
7,ABBV,21,336.1,480.01,143.90999999999997,42.81761380541504
8,ABBV,22,444.0,455.07,11.069999999999993,2.4932432432432483
9,ABBV,23,660.4,264.96,-395.44,-59.87886129618414
10,ABBV,25,509.7,387.33,-122.37,-24.008240141259563
11,ABBV,26,280.8,286.53,5.729999999999961,2.0405982905982833
12,ABBV,27,324.5,341.61,17.110000000000014,5.272727272727273
13,ABBV,28,212.8,294.25,81.44999999999999,38.275375939849624
14,ABBV,29,363.3,289.68,-73.62,-20.264244426094137
15,ABBV,30,243.0,511.39,268.39,110.4485596707819
16,ABBV,31,534.7,381.71,-152.99000000000007,-28.612305965962236
17,ABBV,32,359.2,445.67,86.47000000000003,24.072939866369715
18,ABBV,33,411.2,403.30000000000007,-7.89999999999992,-1.921206225680916
19,ABBV,34,526.3,216.1,-310.19999999999993,-58.93976819304578
20,ADAG,10,166.8,252.16000000000003,85.36000000000001,51.17505995203837
21,ADAG,11,335.6,439.09,103.48999999999995,30.83730631704409
22,ADAG,12,382.3,364.03999999999996,-18.260000000000048,-4.776353648966792
23,ADAG,13,312.3,330.09000000000003,17.79000000000002,5.6964457252641765
24,ADAG,14,304.2,157.05,-147.14999999999998,-48.37278106508875
25,ADAG,15,245.8,445.07000000000005,199.27000000000004,81.06997558991051
26,ADAG,16,316.5,280.03000000000003,-36.46999999999997,-11.522906793048959
27,ADAG,17,325.6,273.09000000000003,-52.50999999999999,-16.127149877149872
28,ADAG,18,336.2,468.3,132.10000000000002,39.292088042831665
29,ADAG,19,428.6,327.04,-101.56,-23.695753616425574
30,ADAG,20,367.3,270.24,-97.06,-26.425265450585357
31,ADAG,21,429.1,334.14,-94.96000000000004,-22.13003961780472
32,ADAR,1,300.3,569.0799999999999,268.7799999999999,89.50382950382946
33,ADAR,2,455.1,235.0,-220.10000000000002,-48.362997143484954
34,ADAR,3,269.8,383.01,113.20999999999998,41.960711638250544
35,ADAR,4,304.5,294.01,-10.490000000000009,-3.444991789819374
36,ADAR,5,309.2,423.44,114.24000000000001,36.94695989650712
37,ADAR,6,430.1,299.07,-131.03000000000003,-30.465008137642414
38,ADAR,7,363.7,457.02,93.32,25.65850976079187
39,ADAR,8,380.8,270.0,-110.80000000000001,-29.096638655462193
40,ADAR,9,278.7,464.65,185.95,66.72048797990671
41,ADAR,10,449.0,208.05,-240.95,-53.663697104677055
42,ADAR,11,261.7,466.0,204.3,78.0664883454337
43,ADAR,12,376.1,372.73,-3.3700000000000045,-0.896038287689449
44,ADAR,13,406.5,388.01,-18.49000000000001,-4.548585485854861
45,ADAR,14,400.3,419.7,19.399999999999977,4.84636522608044
46,ADAR,15,333.5,438.01,104.50999999999999,31.33733133433283
47,ADAR,16,430.6,328.01,-102.59000000000003,-23.824895494658627
48,ADAR,17,288.2,173.01,-115.19,-39.96877168632894
49,ADAR,18,278.6,414.06,135.45999999999998,48.621679827709976
50,ADAR,19,384.3,345.52,-38.78000000000003,-10.09107468123862
51,ADAR,20,318.2,391.02,72.82,22.88497800125706
52,ADAR,21,389.3,218.82,-170.48000000000002,-43.79142049833034
53,ADAR,22,196.8,374.03,177.22999999999996,90.05589430894307
54,ADAR,23,343.7,210.01999999999998,-133.68,-38.8943846377655
55,ADAR,24,317.8,377.24,59.44,18.703587161736944
56,ADAR,25,319.1,453.74999999999994,134.64999999999992,42.19680350987149
57,ADAR,26,430.3,324.05,-106.25,-24.692075296304907
58,ADAR,27,286.8,376.07,89.26999999999998,31.126220362622025
59,ADAR,28,367.5,212.04000000000002,-155.45999999999998,-42.302040816326524
60,ADAR,29,319.2,458.71,139.51,43.706140350877185
61,ADAR,30,321.8,270.0,-51.80000000000001,-16.096954630205097
62,ADAR,31,348.1,140.02,-208.08,-59.77592645791439
63,ADAR,32,75.1,431.11,356.01,474.04793608521976
64,ADAR,33,379.2,379.03,-0.17000000000001592,-0.04483122362869407
65,ADAR,34,404.3,250.85,-153.45000000000002,-37.95448924066288
66,ADAR,35,296.1,279.02,-17.08000000000004,-5.768321513002372
67,ADAR,36,193.7,379.47,185.77000000000004,95.9060402684564
68,ADAR,37,353.7,349.15,-4.550000000000011,-1.2864009047215186
69,ADAR,38,358.3,288.04,-70.25999999999999,-19.60926597823053
70,ADAR,39,318.7,410.03,91.32999999999998,28.657044242234075
71,ADAR,40,315.3,377.02,61.71999999999997,19.575007928956545
72,ADAR,41,322.2,340.01,17.810000000000002,5.5276225946617075
73,ADAR,42,342.0,294.02,-47.98000000000002,-14.02923976608188
74,ADAR,43,315.8,211.06,-104.74000000000001,-33.16656111462951
75,ADAR,44,322.3,390.02,67.71999999999997,21.011479987589187
76,ADAR,45,327.0,269.0,-58.0,-17.737003058103973
77,ADAR,46,302.7,328.03999999999996,25.339999999999975,8.37132474397091
78,ADAR,47,293.2,125.34,-167.85999999999999,-57.251023192360165
79,ADAR,48,141.2,386.03,244.82999999999998,173.39235127478756
80,ADAR,49,390.7,360.0,-30.69999999999999,-7.857691323265925
